"id","genre","artist_name","energy","mood_vec","track_name","valence"
"5cv4xpnhCTthBPgViRIzen","dub","Borgore","0.926","[{""N"":""0.04""},{""N"":""0.926""}]","Wild Out (feat. Waka Flocka Flame & Paige)","0.04"
"5jF95n4H4x0ELHndEN8ajM","singer-songwriter","Secret Suburbia","0.196","[{""N"":""0.0755""},{""N"":""0.196""}]","Boat","0.0755"
"3EUl8M6SzxZl03NPkB8mUd","honky-tonk","Brooks & Dunn","0.632","[{""N"":""0.458""},{""N"":""0.632""}]","Neon Moon","0.458"
"0mALPQNavdJFrhePN6l9Va","turkish","Kenan Doğulu","0.589","[{""N"":""0.275""},{""N"":""0.589""}]","Bal Gibi","0.275"
"4MzGM692jKGkNSQ7qzeTaJ","indie-pop","The Black Keys","0.674","[{""N"":""0.743""},{""N"":""0.674""}]","Fever","0.743"
"47VueTChrhOjNaJTOzaskN","latino","Shakira","0.73","[{""N"":""0.616""},{""N"":""0.73""}]","Dare (La La La)","0.616"
"4Qrxdjj3nFhjrqcnUU5r6a","dance","Years & Years","0.716","[{""N"":""0.493""},{""N"":""0.716""}]","Shine","0.493"
"4ekIN5y0uDTczQEHWO2ZNZ","punk-rock","Sum 41","0.902","[{""N"":""0.375""},{""N"":""0.902""}]","Speak Of The Devil","0.375"
"31M5m42C3EGlbydf9XB5to","latin","Leslie Grace","0.721","[{""N"":""0.618""},{""N"":""0.721""}]","Duro y Suave","0.618"
"0DyeiVFwnfAvfyUGdu5l9q","house","Nicky Romero","0.98","[{""N"":""0.0842""},{""N"":""0.98""}]","WTF!? (Original Mix)","0.0842"
"13lH72n1QZTpTNCIyztfRn","trip-hop","Morcheeba","0.723","[{""N"":""0.717""},{""N"":""0.723""}]","Love Is Rare","0.717"
"0GbvcikHO2eLBEGPiGnJlH","idm","Four Tet","0.798","[{""N"":""0.0848""},{""N"":""0.798""}]","Love Cry","0.0848"
"5y2KMaT44umaDJWXJHcYjN","show-tunes","Les Misérables - 10th Anniversary Concert Cast","0.368","[{""N"":""0.584""},{""N"":""0.368""}]","Do You Hear the People Sing?","0.584"
"36jRiqbaaTdKZrQ1CdarSS","industrial","Skinny Puppy","0.851","[{""N"":""0.492""},{""N"":""0.851""}]","Grave Wisdom","0.492"
"3FsYJSsJ9jmWoX9qOSCqDY","singer-songwriter","Ryan Adams","0.212","[{""N"":""0.173""},{""N"":""0.212""}]","Save Me","0.173"
"4mehqnPYfwRGEjDBHkIDG2","world-music","Augustus Pablo","0.561","[{""N"":""0.708""},{""N"":""0.561""}]","Jah Light Version","0.708"
"41mxwoVT3EN4keZOHH7m7U","indie-pop","alt-J","0.707","[{""N"":""0.515""},{""N"":""0.707""}]","Every Other Freckle","0.515"
"4cK52WJ9gD5M3VrJoZvhaN","idm","Boards of Canada","0.709","[{""N"":""0.0983""},{""N"":""0.709""}]","Hi Scores","0.0983"
"55OtPJPtxxoWTzuiPX9VPl","hardstyle","Various Artists","0.797","[{""N"":""0.332""},{""N"":""0.797""}]","Payback - Testmix 3","0.332"
"49GZ8otSl2kHXT7Bc1Q6s0","emo","Rainer Maria","0.739","[{""N"":""0.266""},{""N"":""0.739""}]","Artificial Light","0.266"
"66KenbX326A4R52A2VFcbf","detroit-techno","Moodymann","0.732","[{""N"":""0.844""},{""N"":""0.732""}]","I Got Werk","0.844"
